BRANCH_CODE,CMPNY_CODE,TRNSCTN_NMBR,tranaction_id,transaction_pkey,salegroup_id,booth_code,customer_code,product_list,user_code,device_type,Amount,Total Amount,RID,CRN,COMISSION_AMNT,Commission Amount,GST Amount,Cheque Number,Cheque Date,Bank Name ,Branch Name ,Transaction Mode,STATUS,CLRNCE_DATE,CRTD_DATE,ATHRSD_DATE,Aggregrator,Unnamed: 28,Bank Date
0,5648,66571094,2073000010,121061,50,2658,2658,"Curd 150,",11165,website,8.0,8.0,2073000010,2073000010b2658,0.0,0.0,0.0,,,,,INTERNET BANKING,AUTHORISED,30/07/2020 21:26:59,30/07/2020 21:25:25,30/07/2020 21:25:44,ATOM,,2020-08-03 00:00:00
0,5648,66664908,208100006,121948,61,2394,2394,"STD 500,STD 250,Curd 150,",1521,website,3387.0,3387.0,208100006,208100006b2394,0.0,0.0,0.0,,,,,INTERNET BANKING,AUTHORISED,01/08/2020 15:34:42,01/08/2020 15:30:39,01/08/2020 15:30:54,ATOM,,2020-08-03 00:00:00
0,5648,66665504,208100007,122019,62,264,264,"TM 500,STD 500,STD 250,FCM 500,Curd 150,",1333,website,12004.0,12004.0,208100007,208100007b264,0.0,0.0,0.0,,,,,INTERNET BANKING,AUTHORISED,01/08/2020 15:55:54,01/08/2020 15:51:02,01/08/2020 15:51:52,ATOM,,2020-08-03 00:00:00
0,5648,66675891,208200002,122296,66,2229,2229,"TM 500,STD 500,STD 250,FCM 500,Curd 150,",1492,website,2210.0,2210.0,208200002,208200002b2229,0.0,0.0,0.0,,,,,Credit Card/Debit card,AUTHORISED,02/08/2020 07:09:26,02/08/2020 07:00:46,02/08/2020 07:09:26,,,2020-08-03 00:00:00
0,5648,66682646,208200004,122487,68,2700,2700,"FCM 500,STD 500,STD 250,Curd 150,Curd 500,",18293,website,2822.5,2822.5,208200004,208200004b2700,0.0,0.0,0.0,,,,,INTERNET BANKING,AUTHORISED,02/08/2020 13:27:06,02/08/2020 13:23:23,02/08/2020 13:24:14,ATOM,,2020-08-03 00:00:00
0,5648,66684624,208200010,122649,76,1869,1869,"TM 500,STD 500,STD 250,FCM 500,Curd 150,STD 500,ST",1423,website,3903.0,3903.0,208200010,208200010b1869,0.0,0.0,0.0,,,,,Credit Card/Debit card,AUTHORISED,02/08/2020 14:56:19,02/08/2020 14:54:50,02/08/2020 14:56:19,,,2020-08-03 00:00:00
0,5648,66685030,208200011,122692,78,2292,2292,"TM 500,STD 500,STD 250,FCM 500,",1503,website,5118.0,5118.0,208200011,208200011b2292,0.0,0.0,0.0,,,,,Credit Card/Debit card,AUTHORISED,02/08/2020 15:15:17,02/08/2020 15:13:11,02/08/2020 15:15:16,,,2020-08-03 00:00:00
0,5648,66685306,208200012,122721,79,1811,1811,"STD 500,STD 250,FCM 500,STD 500,STD 250,",1411,website,13650.0,13650.0,208200012,208200012b1811,0.0,0.0,0.0,,,,,Credit Card/Debit card,AUTHORISED,02/08/2020 15:28:28,02/08/2020 15:26:42,02/08/2020 15:28:28,,,2020-08-03 00:00:00
0,5648,66686453,208200015,122894,9,1096,1096,"TM 500,STD 500,STD 250,FCM 500,Curd 150,",1383,website,240.0,240.0,208200015,208200015b1096,0.0,0.0,0.0,,,,,Credit Card/Debit card,AUTHORISED,02/08/2020 16:31:32,02/08/2020 16:30:14,02/08/2020 16:31:32,,,2020-08-03 00:00:00
0,5648,66709116,208300012,123035,96,2637,2637,"TM 500,STD 500,STD 250,FCM 500,Curd 150,",11145,website,4399.0,4399.0,208300012,208300012b2637,0.0,0.0,0.0,,,,,Credit Card/Debit card,AUTHORISED,2020-08-03 13:28:31,2020-08-03 13:26:53,2020-08-03 13:28:31,,,2020-08-04 00:00:00
0,5648,66710500,208300015,123061,101,2700,2700,"FCM 500,STD 500,STD 250,Curd 150,",18293,website,2332.5,2332.5,208300015,208300015b2700,0.0,0.0,0.0,,,,,Credit Card/Debit card,AUTHORISED,2020-08-03 13:49:46,2020-08-03 13:47:45,2020-08-03 13:49:46,,,2020-08-04 00:00:00
